Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z
ATOM,43,O5,DGlcNAc,2,-6.164,4.021,1.461
ATOM,44,O6,DGlcNAc,2,-6.897,4.158,4.136
ATOM,46,HO3,DGlcNAc,2,-10.003,3.491,-0.888
ATOM,48,HO6,DGlcNAc,2,-6.630,3.458,3.532
ATOM,49,H1,DGlcNAc,2,-5.952,4.489,-0.584
ATOM,50,H2,DGlcNAc,2,-8.018,2.369,0.333
ATOM,51,H3,DGlcNAc,2,-8.484,5.295,-0.529
ATOM,52,H4,DGlcNAc,2,-8.852,4.033,2.261
ATOM,53,H5,DGlcNAc,2,-6.703,6.056,1.360
ATOM,54,H61,DGlcNAc,2,-5.679,5.729,3.536
ATOM,55,H62,DGlcNAc,2,-7.371,6.162,3.811
ATOM,56,NM,DGlcNAc,2,-7.883,2.977,-1.646
ATOM,57,CM,DGlcNAc,2,-8.289,1.732,-2.050
ATOM,58,CM2,DGlcNAc,2,-8.377,1.568,-3.555
ATOM,59,OM,DGlcNAc,2,-8.556,0.818,-1.292
ATOM,60,HM1,DGlcNAc,2,-7.673,3.703,-2.346
ATOM,61,HM2,DGlcNAc,2,-8.720,0.542,-3.825
ATOM,62,HM3,DGlcNAc,2,-7.377,1.731,-4.020
ATOM,63,HM4,DGlcNAc,2,-9.102,2.298,-3.983
ATOM,64,C1,BMAN,3,-10.262,5.782,2.792
ATOM,65,C2,BMAN,3,-10.910,7.118,3.142
ATOM,66,C3,BMAN,3,-12.155,6.942,3.996
ATOM,67,C4,BMAN,3,-13.088,5.932,3.370
ATOM,68,C5,BMAN,3,-12.335,4.631,3.093
ATOM,69,C6,BMAN,3,-13.159,3.542,2.441
ATOM,71,O3,BMAN,3,-12.825,8.204,4.096
ATOM,72,O4,BMAN,3,-14.177,5.640,4.234
ATOM,73,O5,BMAN,3,-11.254,4.936,2.196
ATOM,74,O6,BMAN,3,-13.695,3.958,1.195
ATOM,79,O2,BMAN,3,-11.253,7.789,1.936
ATOM,80,HO2,BMAN,3,-11.989,7.199,1.388
ATOM,81,H5,BMAN,3,-11.986,4.227,4.003
ATOM,82,H61,BMAN,3,-12.966,2.574,2.303
ATOM,83,H62,BMAN,3,-13.967,3.308,3.072
ATOM,84,H2,BMAN,3,-10.171,7.701,3.692
ATOM,85,H3,BMAN,3,-11.855,6.596,4.986
ATOM,86,H1,BMAN,3,-9.842,5.334,3.693
ATOM,87,H4,BMAN,3,-13.465,6.360,2.442
ATOM,88,C1,AMAN,4,-13.749,2.882,0.266
ATOM,89,C2,AMAN,4,-14.081,3.277,-1.170
ATOM,90,C3,AMAN,4,-15.508,3.782,-1.306
ATOM,91,C4,AMAN,4,-16.477,2.806,-0.679
ATOM,92,C5,AMAN,4,-16.058,2.511,0.761
ATOM,93,C6,AMAN,4,-16.940,1.524,1.493
ATOM,94,O3,AMAN,4,-15.814,3.919,-2.699
ATOM,95,O4,AMAN,4,-17.793,3.337,-0.658
ATOM,96,O5,AMAN,4,-14.735,1.948,0.723
ATOM,97,O6,AMAN,4,-16.988,0.267,0.836
ATOM,98,HO3,AMAN,4,-15.869,5.000,-2.833
ATOM,99,HO4,AMAN,4,-18.348,2.974,-1.523
ATOM,100,HO6,AMAN,4,-16.750,-0.717,1.238
ATOM,102,O2,AMAN,4,-13.895,2.145,-2.009
ATOM,105,H5,AMAN,4,-16.087,3.402,1.324
ATOM,106,H61,AMAN,4,-16.986,1.285,2.460
ATOM,107,H62,AMAN,4,-17.918,1.906,1.524
ATOM,108,H1,AMAN,4,-12.748,2.452,0.302
ATOM,109,H2,AMAN,4,-13.386,4.067,-1.456
ATOM,110,H3,AMAN,4,-15.589,4.748,-0.806
ATOM,111,H4,AMAN,4,-16.462,1.895,-1.276
ATOM,112,C1,DGlcNAc,5,-12.874,2.367,-2.961
ATOM,113,C2,DGlcNAc,5,-12.566,1.049,-3.706
ATOM,114,C3,DGlcNAc,5,-11.592,1.325,-4.871
ATOM,115,C4,DGlcNAc,5,-12.125,2.433,-5.811
ATOM,116,C5,DGlcNAc,5,-12.512,3.709,-5.004
ATOM,117,C6,DGlcNAc,5,-13.236,4.767,-5.856
ATOM,119,O3,DGlcNAc,5,-11.408,0.122,-5.605
ATOM,120,O4,DGlcNAc,5,-11.106,2.723,-6.762
ATOM,121,O5,DGlcNAc,5,-13.390,3.359,-3.885
ATOM,122,O6,DGlcNAc,5,-14.530,4.304,-6.234
ATOM,124,HO3,DGlcNAc,5,-11.378,-0.566,-4.931
ATOM,126,HO6,DGlcNAc,5,-14.827,3.760,-5.496
ATOM,127,H1,DGlcNAc,5,-11.966,2.752,-2.452
ATOM,128,H2,DGlcNAc,5,-13.514,0.643,-4.114
ATOM,129,H3,DGlcNAc,5,-10.615,1.644,-4.454
ATOM,130,H4,DGlcNAc,5,-13.021,2.053,-6.339
ATOM,131,H5,DGlcNAc,5,-11.583,4.166,-4.610
ATOM,132,H61,DGlcNAc,5,-13.334,5.707,-5.279
ATOM,133,H62,DGlcNAc,5,-12.644,5.022,-6.756
ATOM,134,NM,DGlcNAc,5,-11.994,0.103,-2.809
ATOM,135,CM,DGlcNAc,5,-12.627,-1.090,-2.575
ATOM,136,CM2,DGlcNAc,5,-11.904,-1.991,-1.593
ATOM,137,OM,DGlcNAc,5,-13.677,-1.421,-3.092
ATOM,138,HM1,DGlcNAc,5,-11.105,0.317,-2.334
ATOM,139,HM2,DGlcNAc,5,-12.457,-2.948,-1.449
ATOM,140,HM3,DGlcNAc,5,-11.818,-1.490,-0.601
ATOM,141,HM4,DGlcNAc,5,-10.883,-2.235,-1.968
ATOM,142,C5,BGAL,6,-12.086,0.533,-9.519
ATOM,143,H5,BGAL,6,-13.088,0.946,-9.741
ATOM,144,O5,BGAL,6,-11.664,1.008,-8.215
ATOM,145,C1,BGAL,6,-11.527,2.450,-8.059
ATOM,146,H1,BGAL,6,-12.508,2.926,-8.229
ATOM,149,C2,BGAL,6,-10.501,2.993,-9.080
ATOM,150,H2,BGAL,6,-9.496,2.601,-8.821
ATOM,151,O2,BGAL,6,-10.462,4.399,-9.015
ATOM,152,HO2,BGAL,6,-9.792,4.698,-9.659
ATOM,153,C3,BGAL,6,-10.850,2.541,-10.518
ATOM,154,H3,BGAL,6,-11.783,3.052,-10.827
ATOM,155,O3,BGAL,6,-9.823,2.918,-11.399
ATOM,156,HO3,BGAL,6,-10.099,2.642,-12.294
ATOM,157,C4,BGAL,6,-11.086,1.012,-10.615
ATOM,158,H4,BGAL,6,-11.461,0.762,-11.628
ATOM,159,O4,BGAL,6,-9.855,0.356,-10.418
ATOM,160,HO4,BGAL,6,-9.243,0.681,-11.103
ATOM,161,C6,BGAL,6,-12.224,-1.014,-9.433
ATOM,162,H61,BGAL,6,-12.847,-1.276,-8.570
ATOM,163,O6,BGAL,6,-12.818,-1.543,-10.599
ATOM,164,HO6,BGAL,6,-12.879,-2.492,-10.471
ATOM,165,H62,BGAL,6,-11.245,-1.474,-9.271
ATOM,166,C1,DGlcNAc,7,-15.414,5.965,3.635
ATOM,167,C2,DGlcNAc,7,-16.558,5.252,4.391
ATOM,168,C3,DGlcNAc,7,-17.921,5.750,3.864
ATOM,169,C4,DGlcNAc,7,-18.030,7.291,3.931
ATOM,170,C5,DGlcNAc,7,-16.808,7.968,3.240
ATOM,171,C6,DGlcNAc,7,-16.758,9.491,3.451
ATOM,173,O3,DGlcNAc,7,-18.953,5.162,4.645
ATOM,174,O4,DGlcNAc,7,-19.246,7.669,3.295
ATOM,175,O5,DGlcNAc,7,-15.556,7.404,3.750
ATOM,176,O6,DGlcNAc,7,-16.478,9.796,4.816
ATOM,178,HO3,DGlcNAc,7,-18.648,4.262,4.802
ATOM,179,HO4,DGlcNAc,7,-19.901,7.051,3.640
ATOM,180,HO6,DGlcNAc,7,-15.902,9.086,5.118
ATOM,181,H1,DGlcNAc,7,-15.403,5.665,2.567
ATOM,182,H2,DGlcNAc,7,-16.475,5.496,5.469
ATOM,183,H3,DGlcNAc,7,-18.038,5.424,2.810
ATOM,184,H4,DGlcNAc,7,-18.062,7.602,4.994
ATOM,185,H5,DGlcNAc,7,-16.876,7.777,2.150
ATOM,186,H61,DGlcNAc,7,-15.975,9.932,2.807
ATOM,187,H62,DGlcNAc,7,-17.710,9.964,3.142
ATOM,188,NM,DGlcNAc,7,-16.454,3.843,4.215
ATOM,189,CM,DGlcNAc,7,-16.279,3.027,5.302
ATOM,190,CM2,DGlcNAc,7,-16.180,1.553,4.960
ATOM,191,OM,DGlcNAc,7,-16.203,3.423,6.450
ATOM,192,HM1,DGlcNAc,7,-16.510,3.437,3.270
ATOM,193,HM2,DGlcNAc,7,-16.048,0.938,5.880
ATOM,194,HM3,DGlcNAc,7,-15.304,1.371,4.295
ATOM,195,HM4,DGlcNAc,7,-17.106,1.211,4.445
ATOM,196,C1,AMAN,8,-12.889,8.655,5.443
ATOM,197,C2,AMAN,8,-12.233,10.007,5.709
ATOM,198,C3,AMAN,8,-10.723,9.949,5.548
ATOM,199,C4,AMAN,8,-10.150,8.800,6.346
ATOM,200,C5,AMAN,8,-10.864,7.502,5.974
ATOM,201,C6,AMAN,8,-10.394,6.276,6.725
ATOM,202,O3,AMAN,8,-10.164,11.179,6.026
ATOM,203,O4,AMAN,8,-8.764,8.637,6.081
ATOM,204,O5,AMAN,8,-12.260,7.671,6.274
ATOM,205,O6,AMAN,8,-10.553,6.421,8.128
ATOM,206,HO3,AMAN,8,-9.817,11.662,5.112
ATOM,207,HO4,AMAN,8,-8.183,9.153,6.844
ATOM,208,HO6,AMAN,8,-11.096,5.774,8.818
ATOM,210,O2,AMAN,8,-12.556,10.417,7.032
ATOM,213,H5,AMAN,8,-10.706,7.295,4.951
ATOM,214,H61,AMAN,8,-10.571,5.307,6.567
ATOM,215,H62,AMAN,8,-9.370,6.136,6.534
ATOM,216,H1,AMAN,8,-13.957,8.723,5.649
ATOM,217,H2,AMAN,8,-12.649,10.714,4.991
ATOM,218,H3,AMAN,8,-10.487,9.813,4.493
ATOM,219,H4,AMAN,8,-10.293,9.026,7.403
ATOM,220,C1,DGlcNAc,9,-13.313,11.610,7.034
ATOM,221,C2,DGlcNAc,9,-13.814,11.902,8.467
ATOM,222,C3,DGlcNAc,9,-14.479,13.295,8.512
ATOM,223,C4,DGlcNAc,9,-13.536,14.396,7.973
ATOM,224,C5,DGlcNAc,9,-12.980,14.014,6.567
ATOM,225,C6,DGlcNAc,9,-11.882,14.971,6.069
ATOM,227,O3,DGlcNAc,9,-14.834,13.585,9.857
ATOM,228,O4,DGlcNAc,9,-14.274,15.611,7.913
ATOM,229,O5,DGlcNAc,9,-12.418,12.661,6.590
ATOM,230,O6,DGlcNAc,9,-10.701,14.827,6.856
ATOM,232,HO3,DGlcNAc,9,-15.148,12.745,10.207
ATOM,234,HO6,DGlcNAc,9,-10.679,13.897,7.106
ATOM,235,H1,DGlcNAc,9,-14.167,11.512,6.332
ATOM,236,H2,DGlcNAc,9,-12.945,11.893,9.154
ATOM,237,H3,DGlcNAc,9,-15.400,13.273,7.894
ATOM,238,H4,DGlcNAc,9,-12.688,14.517,8.676
ATOM,239,H5,DGlcNAc,9,-13.817,14.049,5.842
ATOM,240,H61,DGlcNAc,9,-11.648,14.752,5.010
ATOM,241,H62,DGlcNAc,9,-12.231,16.020,6.094
ATOM,242,NM,DGlcNAc,9,-14.747,10.905,8.869
ATOM,243,CM,DGlcNAc,9,-14.483,10.121,9.962
ATOM,244,CM2,DGlcNAc,9,-15.563,9.101,10.266
ATOM,245,OM,DGlcNAc,9,-13.479,10.210,10.643
ATOM,246,HM1,DGlcNAc,9,-15.620,10.773,8.339
ATOM,247,HM2,DGlcNAc,9,-15.301,8.500,11.167
ATOM,248,HM3,DGlcNAc,9,-15.684,8.400,9.407
ATOM,249,HM4,DGlcNAc,9,-16.535,9.610,10.461
ATOM,250,C5,BGAL,10,-13.431,17.095,11.145
ATOM,251,H5,BGAL,10,-12.334,17.188,11.029
ATOM,252,O5,BGAL,10,-13.932,16.188,10.130
ATOM,253,C1,BGAL,10,-13.725,16.582,8.743
ATOM,254,H1,BGAL,10,-12.642,16.656,8.546
ATOM,257,C2,BGAL,10,-14.397,17.951,8.482
ATOM,258,H2,BGAL,10,-15.496,17.831,8.564
ATOM,259,O2,BGAL,10,-14.090,18.391,7.179
ATOM,260,HO2,BGAL,10,-14.547,19.244,7.051
ATOM,261,C3,BGAL,10,-13.937,19.005,9.517
ATOM,262,H3,BGAL,10,-12.867,19.229,9.334
ATOM,263,O3,BGAL,10,-14.674,20.190,9.350
ATOM,264,HO3,BGAL,10,-14.331,20.832,9.999
ATOM,265,C4,BGAL,10,-14.081,18.502,10.976
ATOM,266,H4,BGAL,10,-13.617,19.236,11.664
ATOM,267,O4,BGAL,10,-15.452,18.403,11.282
ATOM,268,HO4,BGAL,10,-15.839,19.288,11.156
ATOM,269,C6,BGAL,10,-13.703,16.444,12.532
ATOM,270,H61,BGAL,10,-13.319,15.418,12.533
ATOM,271,O6,BGAL,10,-13.075,17.166,13.570
ATOM,272,HO6,BGAL,10,-13.276,16.705,14.386
ATOM,273,H62,BGAL,10,-14.779,16.383,12.718
